store_name,date,visits
잔물결,2021-08-14,2
잔물결,2021-09-04,1
잔물결,2021-09-25,1
잔물결,2021-10-09,1
잔물결,2021-10-16,1
잔물결,2021-10-23,1
잔물결,2021-10-30,2
잔물결,2021-11-06,2
잔물결,2021-11-13,2
잔물결,2021-12-11,1
잔물결,2021-12-25,1
위드비키,2020-05-30,1
위드비키,2020-10-17,1
위드비키,2020-11-21,1
위드비키,2020-11-28,1
위드비키,2021-03-27,1
위드비키,2021-04-10,1
위드비키,2021-05-01,1
위드비키,2021-05-15,1
위드비키,2021-05-22,1
위드비키,2021-06-26,1
위드비키,2021-07-03,1
위드비키,2021-09-11,2
위드비키,2021-10-02,1
위드비키,2021-10-09,2
위드비키,2021-10-30,1
위드비키,2021-11-13,1
위드비키,2021-11-27,1
백곱식당,2020-01-18,1
백곱식당,2020-04-25,1
백곱식당,2020-07-25,1
백곱식당,2020-09-19,2
백곱식당,2020-11-07,1
백곱식당,2021-03-06,1
백곱식당,2021-03-27,1
백곱식당,2021-04-03,1
백곱식당,2021-04-10,1
백곱식당,2021-08-14,1
백곱식당,2021-11-27,1
이가도담해장국,2020-03-14,1
이가도담해장국,2021-04-24,1
이가도담해장국,2021-08-14,1
이가도담해장국,2021-10-23,1
하이한담,2021-04-03,1
애월호롱,2020-04-04,1
애월호롱,2020-08-01,1
애월호롱,2020-08-08,1
애월호롱,2020-10-17,1
애월호롱,2020-10-24,1
애월호롱,2020-12-19,1
애월호롱,2021-05-15,4
애월호롱,2021-05-22,1
애월호롱,2021-06-19,2
애월호롱,2021-09-04,1
애월호롱,2021-11-06,1
애월호롱,2021-11-27,1
애월호롱,2021-12-11,1
애월호롱,2021-12-25,1
임창정의모서리족발노형점,2021-02-20,1
닥앤돈스신제주점,2020-04-04,1
닥앤돈스신제주점,2020-07-11,1
닥앤돈스신제주점,2020-07-18,1
닥앤돈스신제주점,2020-08-08,1
닥앤돈스신제주점,2020-08-22,1
닥앤돈스신제주점,2020-09-19,2
닥앤돈스신제주점,2020-11-07,1
닥앤돈스신제주점,2020-12-12,1
닥앤돈스신제주점,2021-03-27,1
닥앤돈스신제주점,2021-05-15,1
닥앤돈스신제주점,2021-10-23,1
닥앤돈스신제주점,2021-11-06,1
닥앤돈스신제주점,2021-11-13,1
가마솥추어탕,2020-01-11,1
가마솥추어탕,2020-05-16,1
가마솥추어탕,2020-07-11,1
가마솥추어탕,2020-07-25,2
가마솥추어탕,2020-08-01,1
가마솥추어탕,2020-09-19,1
가마솥추어탕,2020-11-14,1
가마솥추어탕,2020-11-28,2
가마솥추어탕,2021-03-06,1
가마솥추어탕,2021-04-03,1
가마솥추어탕,2021-04-17,1
가마솥추어탕,2021-05-22,1
가마솥추어탕,2021-06-05,1
가마솥추어탕,2021-07-10,2
가마솥추어탕,2021-07-17,1
가마솥추어탕,2021-07-24,1
가마솥추어탕,2021-08-21,1
가마솥추어탕,2021-10-02,1
가마솥추어탕,2021-10-09,1
가마솥추어탕,2021-12-11,1
조마루뼈다귀한림점,2020-07-05,1
조마루뼈다귀한림점,2020-08-29,1
혹시,2020-08-08,1
혹시,2021-04-24,1
혹시,2021-10-16,1
혹시,2021-11-27,1
단소,2021-02-20,1
단소,2021-03-27,1
단소,2021-05-15,2
단소,2021-10-23,1
단소,2021-12-18,1
주식회사명륜진사갈비아라점,2020-09-05,1
지그라나다,2020-12-12,1
지그라나다,2021-03-06,1
지그라나다,2021-03-27,1
지그라나다,2021-04-17,1
지그라나다,2021-05-01,1
지그라나다,2021-05-08,1
지그라나다,2021-05-15,1
지그라나다,2021-06-19,1
지그라나다,2021-07-03,1
지그라나다,2021-08-07,1
지그라나다,2021-08-14,1
지그라나다,2021-09-04,1
지그라나다,2021-09-25,1
지그라나다,2021-10-09,1
지그라나다,2021-10-23,1
지그라나다,2021-11-20,1
114화교반점,2021-05-08,1
동진식당공항점,2020-08-08,1
동진식당공항점,2020-11-07,1
동진식당공항점,2020-11-21,2
동진식당공항점,2021-04-03,1
동진식당공항점,2021-06-19,1
동진식당공항점,2021-07-24,1
동진식당공항점,2021-08-28,1
동진식당공항점,2021-09-04,1
동진식당공항점,2021-09-11,2
동진식당공항점,2021-10-23,1
동진식당공항점,2021-11-06,1
동진식당공항점,2021-11-13,1
동진식당공항점,2021-12-11,2
아일랜드본섬,2021-02-27,1
모들모들,2020-11-14,1
봉크랑,2020-01-25,1
봉크랑,2021-05-22,1
봉크랑,2021-09-11,1
유성,2020-01-11,1
유성,2020-04-18,1
유성,2020-05-23,1
유성,2020-08-29,1
유성,2020-10-10,1
유성,2021-03-13,1
유성,2021-04-03,1
유성,2021-04-17,1
유성,2021-06-26,1
처갓집양념치킨도남시청점,2020-07-25,1
와인도시,2020-01-04,1
와인도시,2020-03-14,1
와인도시,2020-05-02,1
와인도시,2020-05-23,1
와인도시,2020-09-19,1
와인도시,2020-09-26,3
와인도시,2020-10-03,1
와인도시,2020-11-14,1
와인도시,2020-12-19,1
와인도시,2021-02-20,1
와인도시,2021-03-27,2
와인도시,2021-04-10,1
와인도시,2021-05-01,1
와인도시,2021-05-15,1
와인도시,2021-05-22,1
와인도시,2021-07-24,2
와인도시,2021-08-07,1
와인도시,2021-08-14,1
와인도시,2021-10-10,1
와인도시,2021-10-23,1
와인도시,2021-10-30,1
와인도시,2021-12-05,1
멕시카나치킨협재한림점,2020-03-07,2
멕시카나치킨협재한림점,2020-04-11,1
멕시카나치킨협재한림점,2020-04-18,1
멕시카나치킨협재한림점,2020-08-22,2
멕시카나치킨협재한림점,2020-09-19,2
멕시카나치킨협재한림점,2020-10-03,1
멕시카나치킨협재한림점,2020-10-10,1
멕시카나치킨협재한림점,2020-10-17,1
멕시카나치킨협재한림점,2021-02-27,1
멕시카나치킨협재한림점,2021-04-10,1
멕시카나치킨협재한림점,2021-06-05,1
멕시카나치킨협재한림점,2021-07-17,1
멕시카나치킨협재한림점,2021-08-07,1
멕시카나치킨협재한림점,2021-08-14,1
멕시카나치킨협재한림점,2021-10-16,1
멕시카나치킨협재한림점,2021-10-30,1
멕시카나치킨협재한림점,2021-11-20,1
현무암닭강정,2020-03-21,1
현무암닭강정,2020-09-26,1
현무암닭강정,2020-10-03,1
현무암닭강정,2020-11-14,1
현무암닭강정,2020-11-21,1
현무암닭강정,2020-11-28,1
현무암닭강정,2021-03-13,1
현무암닭강정,2021-04-24,1
현무암닭강정,2021-05-01,2
현무암닭강정,2021-05-08,2
현무암닭강정,2021-05-15,1
현무암닭강정,2021-06-19,1
현무암닭강정,2021-06-26,1
현무암닭강정,2021-07-10,2
현무암닭강정,2021-07-17,1
현무암닭강정,2021-07-24,1
현무암닭강정,2021-08-14,1
현무암닭강정,2021-08-28,1
현무암닭강정,2021-10-02,1
현무암닭강정,2021-10-16,1
현무암닭강정,2021-10-30,1
현무암닭강정,2021-12-25,2
낙지와새우,2020-09-19,1
낙지와새우,2020-12-12,1
낙지와새우,2021-06-05,1
낙지와새우,2021-09-11,1
상상함덕점,2020-01-18,1
상상함덕점,2020-04-18,1
상상함덕점,2020-07-11,1
상상함덕점,2020-07-18,1
상상함덕점,2020-07-25,1
상상함덕점,2020-08-22,1
상상함덕점,2020-11-14,2
상상함덕점,2021-02-27,1
상상함덕점,2021-03-13,1
상상함덕점,2021-04-17,2
상상함덕점,2021-04-24,1
상상함덕점,2021-05-08,1
상상함덕점,2021-05-15,2
상상함덕점,2021-07-17,1
상상함덕점,2021-09-11,1
상상함덕점,2021-10-30,1
상상함덕점,2021-11-06,2
상상함덕점,2021-11-13,1
야심만참 한림점,2021-04-10,1
야심만참 한림점,2021-05-22,1
야심만참 한림점,2021-09-11,1
야심만참 한림점,2021-10-16,1
에트나,2020-04-04,1
따팡양꼬치,2020-01-04,1
따팡양꼬치,2020-01-11,1
따팡양꼬치,2020-07-25,1
따팡양꼬치,2020-08-08,1
따팡양꼬치,2020-10-03,2
따팡양꼬치,2021-12-25,1
본도시락제주시청점,2020-10-17,1
언니식탁,2020-03-21,1
언니식탁,2020-09-19,1
언니식탁,2021-04-10,1
한림싸롱,2020-05-09,1
한림싸롱,2020-09-26,1
한림싸롱,2020-11-28,1
탐라반상,2020-11-14,1
탐라반상,2020-12-12,1
탐라반상,2021-07-03,1
수지네밥상,2020-11-28,1
수지네밥상,2021-09-04,1
수지네밥상,2021-09-18,1
수지네밥상,2021-09-25,2
수지네밥상,2021-10-16,1
수지네밥상,2021-10-30,1
수지네밥상,2021-11-27,1
포산해장국,2021-03-27,1
포산해장국,2021-06-19,1
퐁낭쉼팡,2021-10-16,1
라마다바이윈덤제주더함덕호텔다이아몬드,2021-04-10,1
제주육대표,2020-04-25,1
제주육대표,2020-10-10,1
제주육대표,2020-11-14,1
제주육대표,2021-03-06,1
제주육대표,2021-03-13,1
제주육대표,2021-05-01,1
제주육대표,2021-05-15,1
제주몰래물밥상,2020-07-18,1
제주몰래물밥상,2020-11-21,1
제주몰래물밥상,2021-04-17,3
제주몰래물밥상,2021-05-08,1
제주몰래물밥상,2021-05-15,1
제주몰래물밥상,2021-06-05,1
제주몰래물밥상,2021-07-03,2
제주몰래물밥상,2021-07-17,1
제주몰래물밥상,2021-08-21,1
제주몰래물밥상,2021-12-11,1
열린당구카페,2020-08-08,1
카페팔레트,2020-01-04,1
카페팔레트,2020-01-25,1
카페팔레트,2020-07-04,1
카페팔레트,2020-08-08,2
카페팔레트,2021-06-05,2
카페팔레트,2021-08-21,1
카페팔레트,2021-10-23,2
카페팔레트,2021-11-06,1
카페팔레트,2021-11-27,1
카페팔레트,2021-12-04,1
제주돼지,2021-03-13,1
인챠이,2021-02-06,1
은희네해장국함덕점,2020-03-07,1
은희네해장국함덕점,2020-05-23,1
은희네해장국함덕점,2020-08-01,1
은희네해장국함덕점,2020-08-22,1
은희네해장국함덕점,2020-09-19,1
은희네해장국함덕점,2020-10-17,2
은희네해장국함덕점,2020-11-14,1
은희네해장국함덕점,2020-11-21,3
은희네해장국함덕점,2020-12-12,1
은희네해장국함덕점,2021-02-06,1
은희네해장국함덕점,2021-04-03,2
은희네해장국함덕점,2021-04-10,2
은희네해장국함덕점,2021-04-17,1
은희네해장국함덕점,2021-04-24,2
은희네해장국함덕점,2021-06-05,1
은희네해장국함덕점,2021-06-26,1
은희네해장국함덕점,2021-07-24,1
은희네해장국함덕점,2021-08-14,1
은희네해장국함덕점,2021-09-25,1
은희네해장국함덕점,2021-10-02,1
은희네해장국함덕점,2021-10-09,1
은희네해장국함덕점,2021-10-23,1
은희네해장국함덕점,2021-10-30,1
은희네해장국함덕점,2021-11-27,1
신삼다식당,2020-01-25,2
신삼다식당,2020-03-14,1
신삼다식당,2020-03-28,1
신삼다식당,2020-07-25,1
신삼다식당,2020-08-01,1
신삼다식당,2020-08-08,2
신삼다식당,2020-08-29,1
신삼다식당,2020-09-26,1
신삼다식당,2020-10-24,1
신삼다식당,2020-10-31,1
신삼다식당,2020-11-07,1
신삼다식당,2020-11-14,1
신삼다식당,2020-12-12,1
신삼다식당,2021-04-10,1
신삼다식당,2021-04-17,1
신삼다식당,2021-05-15,1
신삼다식당,2021-05-22,2
신삼다식당,2021-06-05,1
신삼다식당,2021-06-19,2
신삼다식당,2021-07-03,1
신삼다식당,2021-07-17,2
신삼다식당,2021-08-07,2
신삼다식당,2021-08-28,1
신삼다식당,2021-09-11,1
신삼다식당,2021-10-09,1
신삼다식당,2021-10-23,1
신삼다식당,2021-10-30,1
신삼다식당,2021-12-11,1
농부밥상,2020-07-18,1
판포리135,2020-05-02,1
판포리135,2020-09-19,2
판포리135,2020-10-03,3
판포리135,2021-02-27,1
판포리135,2021-03-20,1
판포리135,2021-04-03,1
판포리135,2021-04-10,1
판포리135,2021-04-17,1
판포리135,2021-07-10,2
