,store_name,permission_date,situation,address,address_road,new_store_name,trans_ad,trans_ad_road,x,y
3204,세븐일레븐탑동광장점,2021-01-28,영업,제주특별자치도 제주시 건입동 1319-10,"제주특별자치도 제주시 서부두길 10, 1층 (건입동)",세븐일레븐탑동광장점  제주시 서부두길 10, 제주시 건입동 1319-10, 제주시 서부두길 10,126.528041292,33.517177428
3205,달리는커피제주일도점,2021-01-28,영업,제주특별자치도 제주시 일도이동 113-4 일도대림1차아파트,"제주특별자치도 제주시 태성로 33, 일도대림1차아파트 상가동 104호 (일도이동)",달리는커피제주일도점  제주시 태성로 33, 제주시 일도이동 113-4 일도대림1차아파트, 제주시 태성로 33,126.549414798,33.500293201
3206,피노엔키오,2021-01-28,영업,제주특별자치도 제주시 구좌읍 김녕리 5974,"제주특별자치도 제주시 구좌읍 일주동로 1853, 1층",피노엔키오  제주시 구좌읍 일주동로 1853, 제주시 구좌읍 김녕리 5974, 제주시 구좌읍 일주동로 1853,126.729384929,33.556384011
3207,브라운아라점,2021-01-28,영업,제주특별자치도 제주시 아라일동 6113-10 재이빌,"제주특별자치도 제주시 인다3길 22, 재이빌 1층 (아라일동)",브라운아라점  제주시 인다3길 22, 제주시 아라일동 6113-10 재이빌, 제주시 인다3길 22,126.549259336,33.475673256
3208,더블유,2021-01-28,영업,제주특별자치도 제주시 우도면 연평리 1737-11,"제주특별자치도 제주시 우도면 우도로 4-3, 1층",더블유  제주시 우도면 우도로 4-3, 제주시 우도면 연평리 1737-11, 제주시 우도면 우도로 4-3,126.951861145,33.493090971
3209,아녹,2021-01-19,영업,제주특별자치도 제주시 한경면 낙천리 2185,"제주특별자치도 제주시 한경면 낙조길 22, 1층",아녹  제주시 한경면 낙조길 22, 제주시 한경면 낙천리 2185, 제주시 한경면 낙조길 22,126.224275826,33.323269856
3210,세븐일레븐제주장전점,2021-01-19,영업,제주특별자치도 제주시 애월읍 장전리 1226-1,"제주특별자치도 제주시 애월읍 중산간서로 6132, 장전SKY빌 1층",세븐일레븐제주장전점  제주시 애월읍 중산간서로 6132, 제주시 애월읍 장전리 1226-1, 제주시 애월읍 중산간서로 6132,126.387216949,33.452686930
3211,거문오름카페,2021-02-03,영업,제주특별자치도 제주시 조천읍 선흘리 478 제주세계자연유산센터,"제주특별자치도 제주시 조천읍 선교로 569-36, 제주세계자연유산센터 지하1층",거문오름카페  제주시 조천읍 선교로 569-36, 제주시 조천읍 선흘리 478 제주세계자연유산센터, 제주시 조천읍 선교로 569-36,126.714755342,33.456903021
3212,랭커피씨제주삼무점,2020-12-08,영업,제주특별자치도 제주시 연동 260-15,"제주특별자치도 제주시 신광로 16, 지하1층 (연동)",랭커피씨제주삼무점  제주시 신광로 16, 제주시 연동 260-15, 제주시 신광로 16,126.489906340,33.490690066
3213,에이바우트스타디움,2020-12-08,영업,제주특별자치도 제주시 화북이동 3290-1,"제주특별자치도 제주시 거로남4길 57-15, 1~2층 (화북이동)",에이바우트스타디움  제주시 거로남4길 57-15, 제주시 화북이동 3290-1, 제주시 거로남4길 57-15,126.564311567,33.504962304
