Unnamed: 0,store_name,business_category,permission_date,situation,address,address_road,trans_ad,trans_ad_road,x,y,new_store_name
14920,신토생선구이식당,한식,2020-10-08,영업,제주특별자치도 서귀포시 대정읍 하모리 2138-1,제주특별자치도 서귀포시 대정읍 최남단해안로 31, 서귀포시 대정읍 하모리 2138-1, 서귀포시 대정읍 최남단해안로 31,126.252457716,33.217622522,신토생선구이식당  서귀포시 대정읍 최남단해안로 31
14921,밀면맛있는집서귀포점,한식,2020-10-07,영업,제주특별자치도 서귀포시 서호동 1464-4,"제주특별자치도 서귀포시 신서귀로 58, 1층 (서호동)", 서귀포시 서호동 1464-4, 서귀포시 신서귀로 58,126.511874211,33.254017998,밀면맛있는집서귀포점  서귀포시 신서귀로 58
14922,효돈빵오롯이,경양식,2020-10-07,영업,제주특별자치도 서귀포시 하효동 731-4,제주특별자치도 서귀포시 효돈순환로 270 (하효동), 서귀포시 하효동 731-4, 서귀포시 효돈순환로 270 (하효동),126.615935599,33.257595128,효돈빵오롯이  서귀포시 효돈순환로 270 (하효동)
14923,훈식당,정종/대포집/소주방,2020-09-25,영업,제주특별자치도 서귀포시 표선면 표선리 2954-1,"제주특별자치도 서귀포시 표선면 표선동서로 221, 1,2층", 서귀포시 표선면 표선리 2954-1, 서귀포시 표선면 표선동서로 221,126.831554833,33.323838985,훈식당  서귀포시 표선면 표선동서로 221
14924,동광육거리짬뽕,중국식,2020-09-25,영업,제주특별자치도 서귀포시 안덕면 동광리 953-3,"제주특별자치도 서귀포시 안덕면 신화역사로 473-2, 1층", 서귀포시 안덕면 동광리 953-3, 서귀포시 안덕면 신화역사로 473-2,126.338607609,33.3104834,동광육거리짬뽕  서귀포시 안덕면 신화역사로 473-2
14925,동아식당,한식,2020-09-25,영업,제주특별자치도 서귀포시 성산읍 고성리 323-6,"제주특별자치도 서귀포시 성산읍 동류암로39번길 15, 지하1층", 서귀포시 성산읍 고성리 323-6, 서귀포시 성산읍 동류암로39번길 15,126.915383798,33.447732883,동아식당  서귀포시 성산읍 동류암로39번길 15
14926,1826번지귤창고,식육(숯불구이),2020-09-18,영업,제주특별자치도 서귀포시 대정읍 보성리 1826,제주특별자치도 서귀포시 대정읍 대한로140번길 234, 서귀포시 대정읍 보성리 1826, 서귀포시 대정읍 대한로140번길 234,126.270005189,33.248092528,1826번지귤창고  서귀포시 대정읍 대한로140번길 234
14927,서호회관,호프/통닭,2020-10-06,영업,제주특별자치도 서귀포시 서호동 1605,"제주특별자치도 서귀포시 서호중앙로 55, E동 지2층 102-2호 (서호동)", 서귀포시 서호동 1605, 서귀포시 서호중앙로 55,126.517974138,33.251798804,서호회관  서귀포시 서호중앙로 55
14928,다올분식카페,분식,2020-10-06,영업,제주특별자치도 서귀포시 동홍동 1182-1,"제주특별자치도 서귀포시 동홍로 173, 1층 (동홍동)", 서귀포시 동홍동 1182-1, 서귀포시 동홍로 173,126.567529125,33.263801643,다올분식카페  서귀포시 동홍로 173
14929,오요,중국식,2020-10-06,영업,제주특별자치도 서귀포시 하효동 682,"제주특별자치도 서귀포시 하효중앙로 112, 1층 (하효동)", 서귀포시 하효동 682, 서귀포시 하효중앙로 112,126.619439951,33.260388331,오요  서귀포시 하효중앙로 112
14930,블루밍,경양식,2020-10-06,영업,제주특별자치도 서귀포시 대정읍 보성리 산 1,"제주특별자치도 서귀포시 대정읍 에듀시티로 178, 1층", 서귀포시 대정읍 보성리 산 1, 서귀포시 대정읍 에듀시티로 178,126.273571662,33.283222136,블루밍  서귀포시 대정읍 에듀시티로 178
14931,오렌지반점,중국식,2020-10-06,영업,제주특별자치도 서귀포시 서귀동 692-9,"제주특별자치도 서귀포시 칠십리로91번길 16, 1층 (서귀동)", 서귀포시 서귀동 692-9, 서귀포시 칠십리로91번길 16,126.56405754,33.241044917,오렌지반점  서귀포시 칠십리로91번길 16
14932,츄,한식,2020-10-06,영업,제주특별자치도 서귀포시 서귀동 831-9,제주특별자치도 서귀포시 태평로353번길 18 (서귀동), 서귀포시 서귀동 831-9, 서귀포시 태평로353번길 18 (서귀동),126.56078528,33.247131035,츄  서귀포시 태평로353번길 18 (서귀동)
14933,올드패션,"외국음식전문점(인도,태국등)",2020-10-12,영업,제주특별자치도 서귀포시 남원읍 위미리 165-4,"제주특별자치도 서귀포시 남원읍 태위로 383, 1층", 서귀포시 남원읍 위미리 165-4, 서귀포시 남원읍 태위로 383,126.688207015,33.275351531,올드패션  서귀포시 남원읍 태위로 383
14934,블랙피그엔산방산파크텔,한식,2020-09-28,영업,제주특별자치도 서귀포시 안덕면 화순리 2038-1,"제주특별자치도 서귀포시 안덕면 화순서서로 63, 1층", 서귀포시 안덕면 화순리 2038-1, 서귀포시 안덕면 화순서서로 63,126.329107809,33.256478233,블랙피그엔산방산파크텔  서귀포시 안덕면 화순서서로 63
14935,주민상회서광신화점,호프/통닭,2020-09-23,영업,제주특별자치도 서귀포시 안덕면 서광리 1421-4 1층 102호,"제주특별자치도 서귀포시 안덕면 녹차분재로 45, 1층 102호", 서귀포시 안덕면 서광리 1421-4 1층 102호, 서귀포시 안덕면 녹차분재로 45,126.301772635,33.289860766,주민상회서광신화점  서귀포시 안덕면 녹차분재로 45
14936,봉수아피자서귀포지점,"외국음식전문점(인도,태국등)",2020-09-23,영업,제주특별자치도 서귀포시 서귀동 330-26,제주특별자치도 서귀포시 일주동로 8711 (서귀동), 서귀포시 서귀동 330-26, 서귀포시 일주동로 8711 (서귀동),126.557689708,33.252395807,봉수아피자서귀포지점  서귀포시 일주동로 8711 (서귀동)
14937,꼬지앤푸드,한식,2020-09-29,영업,제주특별자치도 서귀포시 표선면 세화리 256-1,제주특별자치도 서귀포시 표선면 일주동로 6248, 서귀포시 표선면 세화리 256-1, 서귀포시 표선면 일주동로 6248,126.804163813,33.306983927,꼬지앤푸드  서귀포시 표선면 일주동로 6248
