store_name,business_category,permission_date,situation,address,address_road,new_store_name
암사동벼락국물떡볶이서귀포점,한식,2021-06-21,영업,제주특별자치도 서귀포시 동홍동 393-1,"제주특별자치도 서귀포시 태평로 487, A동 1층 (동홍동)",암사동벼락국물떡볶이서귀포점  서귀포시 태평로 487
개와늑대의시간,정종/대포집/소주방,2021-06-21,영업,제주특별자치도 서귀포시 법환동 746-3,"제주특별자치도 서귀포시 김정문화로41번길 5-2, 401호 (법환동)",개와늑대의시간  서귀포시 김정문화로41번길 5-2
플로우스,"외국음식전문점(인도,태국등)",2021-06-21,영업,제주특별자치도 서귀포시 상예동 592-1,"제주특별자치도 서귀포시 예래해안로 550, 3층 (상예동)",플로우스  서귀포시 예래해안로 550
신창흑돼지두루치기,한식,2021-06-01,영업,제주특별자치도 서귀포시 대정읍 하모리 1436-1 탐라공인중개사,제주특별자치도 서귀포시 대정읍 동일하모로 182,신창흑돼지두루치기  서귀포시 대정읍 동일하모로 182
대평흑돼지,한식,2021-06-01,영업,제주특별자치도 서귀포시 안덕면 창천리 844-14,"제주특별자치도 서귀포시 안덕면 대평로 27-1, 1층",대평흑돼지  서귀포시 안덕면 대평로 27-1
이서방흑돼지,한식,2021-06-11,영업,제주특별자치도 서귀포시 성산읍 시흥리 785-7,"제주특별자치도 서귀포시 성산읍 일주동로 3934-1, 1층",이서방흑돼지  서귀포시 성산읍 일주동로 3934-1
비어댐서귀포점,호프/통닭,2020-07-08,영업,제주특별자치도 서귀포시 서귀동 312-14,"제주특별자치도 서귀포시 중앙로41번길 17, 1층 (서귀동)",비어댐서귀포점  서귀포시 중앙로41번길 17
성산메밀꽃막국수,냉면집,2020-09-16,영업,제주특별자치도 서귀포시 성산읍 수산리 1048 1층,"제주특별자치도 서귀포시 성산읍 서성일로 913, 1층",성산메밀꽃막국수  서귀포시 성산읍 서성일로 913
성산포수협외식사업센터(성산어가),횟집,2020-09-16,영업,제주특별자치도 서귀포시 성산읍 성산리 347-5 제24호 2층,"제주특별자치도 서귀포시 성산읍 성산등용로 91, 2층 제24호",성산포수협외식사업센터(성산어가)  서귀포시 성산읍 성산등용로 91
성산포수협외식사업센터(활어회센터),횟집,2020-09-16,영업,제주특별자치도 서귀포시 성산읍 성산리 347-5 제24호 3층,"제주특별자치도 서귀포시 성산읍 성산등용로 91, 3층 제24호",성산포수협외식사업센터(활어회센터)  서귀포시 성산읍 성산등용로 91
제주힐링돼지,식육(숯불구이),2020-09-10,영업,제주특별자치도 서귀포시 강정동 5009-3,"제주특별자치도 서귀포시 말질로 320, 1층 (강정동)",제주힐링돼지  서귀포시 말질로 320
함덕밀면산방산점,한식,2020-09-17,영업,"제주특별자치도 서귀포시 안덕면 사계리 417-2 1,2층 2동","제주특별자치도 서귀포시 안덕면 사계로114번길 54-58, 3동 1,2층",함덕밀면산방산점  서귀포시 안덕면 사계로114번길 54-58
원조목살집,식육(숯불구이),2020-09-17,영업,제주특별자치도 서귀포시 중문동 2059-9,제주특별자치도 서귀포시 중문상로 45 (중문동),원조목살집  서귀포시 중문상로 45 (중문동)
서귀로운날들,경양식,2020-09-04,영업,제주특별자치도 서귀포시 동홍동 621,제주특별자치도 서귀포시 동홍북로 27-11 (동홍동),서귀로운날들  서귀포시 동홍북로 27-11 (동홍동)
